NAME,MCAP,CMP,PE,PE-TTM,EarningScore,DebtScore,CashScore,CompanyScore,G-IV,A-IV,P-IV,G-Valuation,A-Valuation,P-Valuation,G-ROI,A-ROI,P-ROI,G-Decision,A-Decision,P-Decision
ABB INDIA LTD,29072.77,1371.95,98.2486904802136,98.24480585313106,28.0,27.0,24.0,79.0,528.1256002718278,349.28127458716153,257.21052446753896,OVERVALUED,OVERVALUED,OVERVALUED,2.1047222824732565,1.3254649195793866,0.9241017652428715,DO NOT BUY,DO NOT BUY,DO NOT BUY
A B INFRABUILD LTD,7.79,6.15,,,9.0,14.0,15.0,38.0,-463.8832644960756,-289.15275156914385,-199.19983115983658,OVERVALUED,OVERVALUED,OVERVALUED,-441.78286481731374,-271.94376905487803,-184.466693507301,DO NOT BUY,DO NOT BUY,DO NOT BUY
A B M INTERNATIONAL LTD,63.56,54.05,12.763052208835342,12.807028112449798,13.0,18.5,12.0,43.5,88.32940707152173,55.97367723353603,39.316641538125005,UNDERVALUED,UNDERVALUED,OVERVALUED,9.398217264799007,5.819729512468535,3.9765988595913293,DO NOT BUY,DO NOT BUY,DO NOT BUY
A F ENTERPRISES LTD,16.74,17.6,-11.544827586206893,-4.855172413793104,23.0,25.5,9.0,57.5,-123.72615446917568,-77.24336262131405,-53.31358180940973,OVERVALUED,OVERVALUED,OVERVALUED,-41.10368340268444,-25.315812378658894,-17.18413468628658,DO NOT BUY,DO NOT BUY,DO NOT BUY
A INFRASTRUCTURE LTD,96.59,22.65,25.08831168831169,25.062077922077922,18.0,15.0,18.0,51.0,60.20189144997044,37.77054708074623,26.222678875481094,UNDERVALUED,UNDERVALUED,UNDERVALUED,15.456746615808424,9.536618171847485,6.487405499000274,DO NOT BUY,DO NOT BUY,DO NOT BUY
A K SPINTEX LTD,12.43,24.7,12.814432989690724,12.731958762886597,24.0,18.5,12.0,54.5,-257.9204833725681,-161.0150207987953,-111.12717227075424,OVERVALUED,OVERVALUED,OVERVALUED,-61.05787081561737,-37.60503632843921,-25.525453797516057,DO NOT BUY,DO NOT BUY,DO NOT BUY
A R C FINANCE LTD,24.49,4.85,306.1249999999999,306.1562499999999,11.0,30.0,3.0,44.0,0.565994500211921,0.3537365376468872,0.24446413128224403,OVERVALUED,OVERVALUED,OVERVALUED,0.6815379538076763,0.4199207584728459,0.2851725895773783,DO NOT BUY,DO NOT BUY,DO NOT BUY
A-1 ACID LTD,105.0,105.0,,,4.0,18.0,3.0,25.0,876.8632513517239,547.5547600396351,378.02363457734816,UNDERVALUED,UNDERVALUED,UNDERVALUED,48.81681537303272,30.068698028273815,20.412320207961308,BUY,BUY,BUY
A.K.CAPITAL SERVICES LTD,265.91,402.9,12.362157136215714,12.362343096234309,18.0,25.5,27.0,70.5,180.48332026028282,113.90121978531187,79.624124821285,OVERVALUED,OVERVALUED,OVERVALUED,2.588114189157051,1.6002340430032758,1.0914179439236982,DO NOT BUY,DO NOT BUY,DO NOT BUY
A2Z INFRA ENGINEERING LTD,73.09,4.15,-0.20114483859427032,-0.2011214464595316,2.0,14.5,15.0,31.5,426.3505613333809,266.2392477332642,183.81242938515064,UNDERVALUED,UNDERVALUED,UNDERVALUED,600.5306398946675,369.8994939885757,251.11095426229645,BUY,BUY,BUY
AAA TECHNOLOGIES LTD,36.26,42.4,,,19.0,24.0,3.0,46.0,-5.602226817225578,-3.0956611302747525,-1.8052574110727382,OVERVALUED,OVERVALUED,OVERVALUED,-0.8696009094732484,-0.5162084597352453,-0.33419066292057337,DO NOT BUY,DO NOT BUY,DO NOT BUY
AAKASH EXPLORATION SERVICES LTD,150.51,148.65,35.00232558139535,31.80418604651163,16.0,19.5,0.0,35.5,-7.5018288251067515,-4.590821559984773,-3.092207491702758,OVERVALUED,OVERVALUED,OVERVALUED,-0.30145755992333256,-0.18439381623313364,-0.12409913611428995,DO NOT BUY,DO NOT BUY,DO NOT BUY
AANANDA LAKSHMI SPINNING MILLS LTD,1.71,4.9,-0.34545454545454546,-0.3464646464646464,3.0,15.0,12.0,30.0,-147.1250748608857,-91.84310466931395,-63.38342363586078,OVERVALUED,OVERVALUED,OVERVALUED,-175.5763513435675,-108.13419225146212,-73.3975327119884,DO NOT BUY,DO NOT BUY,DO NOT BUY
AANCHAL ISPAT LTD,10.91,5.23,-1.1400208986415883,-1.142183908045977,27.0,18.0,9.0,54.0,-588.1391922235786,-366.9514111949724,-253.08184983966552,OVERVALUED,OVERVALUED,OVERVALUED,-657.9708673150205,-405.155495961274,-274.94078161520395,DO NOT BUY,DO NOT BUY,DO NOT BUY
AARCON FACILITIES LTD,4.34,7.29,-54.25,-54.675000000000004,8.0,30.0,12.0,50.0,-14.334661985550584,-8.93371280053606,-6.153253085537756,OVERVALUED,OVERVALUED,OVERVALUED,-11.519030752592167,-7.090225374423963,-4.809131372407832,DO NOT BUY,DO NOT BUY,DO NOT BUY
AAREY DRUGS & PHARMACEUTICALS LTD,72.73,31.1,12.306260575296108,12.313705583756342,30.0,30.0,12.0,72.0,59.27496358406534,37.047005059375415,25.603841810212696,UNDERVALUED,UNDERVALUED,OVERVALUED,11.130509111843455,6.857997795785779,4.657404384151994,DO NOT BUY,DO NOT BUY,DO NOT BUY
AARNAV FASHIONS LTD,108.19,72.1,40.52059925093633,18.90262172284644,23.0,30.0,6.0,59.0,-706.7889174470657,-441.26101862205775,-304.56474531892405,OVERVALUED,OVERVALUED,OVERVALUED,-57.31649296323886,-35.30148093775998,-23.96246113499687,DO NOT BUY,DO NOT BUY,DO NOT BUY
AARON INDUSTRIES LTD,54.89,54.65,40.96268656716419,32.626865671641795,16.0,19.5,0.0,35.5,-7.026593324435795,-4.358825797339988,-2.9854338464119055,OVERVALUED,OVERVALUED,OVERVALUED,-0.7570078561099309,-0.4651967286846319,-0.3148969174143673,DO NOT BUY,DO NOT BUY,DO NOT BUY
AARTECH SOLONICS LTD,26.12,37.0,,,17.0,30.0,12.0,59.0,116.72733467433856,73.07801911216077,50.60693868714515,UNDERVALUED,UNDERVALUED,UNDERVALUED,18.389542651284934,11.337421785269907,7.705166755898256,DO NOT BUY,DO NOT BUY,DO NOT BUY
AARTI DRUGS LTD,7286.38,781.8,27.59678824376018,27.81391508540696,32.0,13.0,18.0,63.0,1109.7918780506727,692.9484628032365,478.3535307172962,UNDERVALUED,OVERVALUED,OVERVALUED,8.298745543822383,5.111457509700458,3.4698176098815923,DO NOT BUY,DO NOT BUY,DO NOT BUY
AARTI INDUSTRIES LTD,29550.17,1696.0,60.72160690434604,59.257481420596605,36.0,13.0,12.0,61.0,-211.36869557423577,-129.4468727005135,-87.27274358417016,OVERVALUED,OVERVALUED,OVERVALUED,-0.7438661531521781,-0.4551189459369035,-0.3063972329159306,DO NOT BUY,DO NOT BUY,DO NOT BUY
AARTI SURFACTANTS LTD,1157.28,1525.85,95.17105263157895,31.78854166666666,4.0,16.0,0.0,20.0,-1451.9168714871544,-906.4457830640539,-625.6321084483329,OVERVALUED,OVERVALUED,OVERVALUED,-5.563669719218761,-3.4266726451247695,-2.3259940666368504,DO NOT BUY,DO NOT BUY,DO NOT BUY
AARVEE DENIMS & EXPORTS LTD,49.74,21.2,-1.4459302325581396,-1.4482558139534887,14.0,0.0,21.0,35.0,1973.1825868230092,1232.7983770111248,851.641584291316,UNDERVALUED,UNDERVALUED,UNDERVALUED,543.7603763599029,334.991708524955,227.4636246866519,BUY,BUY,BUY
AARVI ENCON LTD,71.33,48.25,8.762899262899264,8.772727272727273,24.0,28.0,12.0,64.0,-55.893481122913336,-34.68732268764615,-23.77019178726106,OVERVALUED,OVERVALUED,OVERVALUED,-6.817261829467782,-4.189967569308139,-2.8367572413211444,DO NOT BUY,DO NOT BUY,DO NOT BUY
AAVAS FINANCIERS LTD,17353.04,2210.45,59.94141623488774,59.78522797927461,29.0,16.5,0.0,45.5,-9825.874109760653,-6107.718182933485,-4193.576350733056,OVERVALUED,OVERVALUED,OVERVALUED,-26.114485040466537,-16.0592798851815,-10.88026066662887,DO NOT BUY,DO NOT BUY,DO NOT BUY
AAYUSH FOOD AND HERBS LTD,9.41,29.0,7.713114754098361,7.606557377049179,17.0,28.5,6.0,51.5,-2226.216267819063,-1388.0591005851898,-956.5678647859377,OVERVALUED,OVERVALUED,OVERVALUED,-449.48133517750404,-276.7100761324389,-187.72276486533605,DO NOT BUY,DO NOT BUY,DO NOT BUY
ABAN OFFSHORE LTD,195.23,33.45,-0.04371169936703901,-0.0437381193871451,8.0,20.5,24.0,52.5,15037.037354471197,9388.311911066234,6480.2946351304645,UNDERVALUED,UNDERVALUED,UNDERVALUED,2628.270664805984,1618.7891350706543,1098.8470590479417,BUY,BUY,BUY
ABANS ENTERPRISES LTD,145.71,104.45,102.61267605633803,102.24330985915495,17.0,29.0,3.0,49.0,-215.97708453140265,-134.7294922384603,-92.90246340102354,OVERVALUED,OVERVALUED,OVERVALUED,-12.100620545503485,-7.4506940423186485,-5.055709717986497,DO NOT BUY,DO NOT BUY,DO NOT BUY
ABB POWER PRODUCTS AND SYSTEMS INDIA LTD,7297.91,1721.95,66.30846810830457,44.22477436549761,5.0,18.0,3.0,26.0,8124.009938796526,5086.158917267044,3522.2444836772625,UNDERVALUED,UNDERVALUED,UNDERVALUED,27.50072756050834,16.954674111106815,11.52283929015079,BUY,BUY,BUY
ABBOTT INDIA LTD,33682.1,15850.4,51.88326992097845,51.761191638811454,40.0,30.0,24.0,94.0,13966.985134989249,8914.173240533482,6312.937894905851,OVERVALUED,OVERVALUED,OVERVALUED,5.0265948515174985,3.120972065837641,2.139464788966171,DO NOT BUY,DO NOT BUY,DO NOT BUY
ABC GAS (INTERNATIONAL) LTD,1.7,8.58,-21.25,-21.450000000000006,12.0,24.0,6.0,42.0,-158.18888079754126,-98.68543866853157,-68.05250396096324,OVERVALUED,OVERVALUED,OVERVALUED,-107.88794669191176,-66.43085477941177,-45.07802582720588,DO NOT BUY,DO NOT BUY,DO NOT BUY
ABC INDIA LTD,35.02,64.65,38.48351648351649,38.36373626373627,9.0,19.5,27.0,55.5,1436.0236972323867,897.3431240004309,620.0252708202178,UNDERVALUED,UNDERVALUED,UNDERVALUED,129.74487027590484,79.93598557520704,54.28149447971693,BUY,BUY,BUY
ABHINAV CAPITAL SERVICES LTD,23.54,34.0,14.441717791411042,14.392638036809814,20.0,30.0,9.0,59.0,-29.882314673526295,-18.658990614077943,-12.881117253919035,OVERVALUED,OVERVALUED,OVERVALUED,-5.13790431365495,-3.1646338346962626,-2.1482840361485764,DO NOT BUY,DO NOT BUY,DO NOT BUY
ABHINAV LEASING & FINANCE LTD,3.7,0.74,24.666666666666668,24.66666666666667,12.0,25.5,12.0,49.5,3.9055236430425637,2.458602688538673,1.7137140982243124,UNDERVALUED,UNDERVALUED,UNDERVALUED,30.577252783530405,18.888797508445947,12.868558878800673,BUY,BUY,BUY
ABHISHEK INFRAVENTURES LTD,1.71,5.25,-19.000000000000004,-18.666666666666664,5.0,28.5,6.0,39.5,11.056394371872136,6.943152542142101,4.825616750962551,UNDERVALUED,UNDERVALUED,OVERVALUED,12.234550064875732,7.551066794590644,5.13879877101608,DO NOT BUY,DO NOT BUY,DO NOT BUY
ABIRAMI FINANCIAL SERVICES (INDIA) LTD,2.34,3.9,46.79999999999998,46.79999999999998,18.0,30.0,18.0,66.0,29.977321033005076,20.15254911970705,15.094663629918177,UNDERVALUED,UNDERVALUED,UNDERVALUED,41.168698584668824,26.109498530982922,18.35312903979701,BUY,BUY,BUY
ABM KNOWLEDGEWARE LTD,220.42,110.2,10.097114063215757,10.096197892808064,28.0,30.0,18.0,76.0,347.25237165024345,217.30922564384912,150.41326526092416,UNDERVALUED,UNDERVALUED,UNDERVALUED,18.376506843852088,11.327696662904913,7.6971468301282755,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACC LTD,35768.78,1904.75,21.64643157569853,21.64789912915076,26.0,30.0,24.0,80.0,7005.232402751507,4432.4687159690175,3107.985640446434,UNDERVALUED,UNDERVALUED,UNDERVALUED,21.186476546289352,13.112156720102695,8.953409393641426,BUY,DO NOT BUY,DO NOT BUY
ACCEL LTD,75.14,13.18,-14.791338582677167,-10.81036745406824,2.0,21.0,9.0,32.0,-219.41146786854296,-136.87996044853097,-94.39195996222196,OVERVALUED,OVERVALUED,OVERVALUED,-97.41468606017101,-59.98222339133617,-40.70231407414491,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACCELYA SOLUTIONS INDIA LTD,1326.31,888.35,46.068426536992014,45.975738103508164,25.0,27.0,27.0,79.0,1305.5381823230573,821.150608473555,571.7833048019717,UNDERVALUED,OVERVALUED,OVERVALUED,8.522640494140932,5.263125976039726,3.584285209322527,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACCORD SYNERGY LTD,5.99,17.25,9.661290322580646,9.73790322580645,10.0,18.5,6.0,34.5,556.7068231099123,347.59306152990064,239.9393195657609,UNDERVALUED,UNDERVALUED,UNDERVALUED,188.6775574478819,116.2110137990401,78.88650211941776,BUY,BUY,BUY
ACCURACY SHIPPING LTD,91.31,60.65,29.45483870967742,26.281666666666663,10.0,15.5,0.0,25.5,-450.31586042248307,-281.0598788618683,-193.92529897033023,OVERVALUED,OVERVALUED,OVERVALUED,-43.425753282228804,-26.74340232621016,-18.151015112066712,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACE EDUTREND LTD,1.1,1.2,-1.0476190476190474,-1.0514285714285714,10.0,27.0,6.0,43.0,0.7835401299075978,0.4912328663714547,0.34075032287360246,OVERVALUED,OVERVALUED,OVERVALUED,3.8001964747159542,2.3440589488636636,1.5940628906250185,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACE MEN ENGG WORKS LTD,16.3,52.6,74.09090909090908,74.11818181818181,1.0,25.5,3.0,29.5,-4.55487033910563,-2.825535137858083,-1.935257022644827,OVERVALUED,OVERVALUED,OVERVALUED,-0.5098424689800612,-0.31330856978527616,-0.21208210793711652,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACE SOFTWARE EXPORTS LTD,5.76,12.3,-2.679069767441861,-2.6888372093023256,24.0,30.0,6.0,60.0,-489.8964615687493,-305.6540769105668,-210.8043549841568,OVERVALUED,OVERVALUED,OVERVALUED,-233.03985960839844,-143.49751383463544,-97.37796455891923,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACEWIN AGRITECK LTD,8.21,8.0,11.898550724637682,11.942028985507244,23.0,30.0,12.0,65.0,-0.6414081550128689,-0.38031356314136766,-0.24589959818185844,OVERVALUED,OVERVALUED,OVERVALUED,-0.4945452036769186,-0.2994476058160781,-0.1989609232262486,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACI INFOCOM LTD,3.31,0.3,-27.583333333333336,-27.625000000000007,13.0,27.0,6.0,46.0,8.926389102716916,5.575011262476281,3.849690257719958,UNDERVALUED,UNDERVALUED,UNDERVALUED,173.90024920298342,107.12028653700904,72.72469691748488,BUY,BUY,BUY
ACKNIT INDUSTRIES LTD,29.02,95.45,5.559386973180076,5.485632183908045,31.0,12.5,15.0,58.5,3715.3041658758802,2320.187631397688,1601.9684464056297,UNDERVALUED,UNDERVALUED,UNDERVALUED,227.51454587949047,140.14127662495696,95.13892871968686,BUY,BUY,BUY
ACME RESOURCES LTD,37.2,14.45,-68.8888888888889,-68.7712962962963,15.0,21.5,21.0,57.5,283.7241969901045,177.14414930191677,122.27573286840652,UNDERVALUED,UNDERVALUED,UNDERVALUED,114.79600293333328,70.70478494623656,47.99522688172041,BUY,BUY,BUY
ACROW INDIA LTD,8.54,133.5,-47.444444444444436,-44.49999999999999,5.0,30.0,3.0,38.0,-700.287584031447,-419.6477957245677,-275.1717788092498,OVERVALUED,OVERVALUED,OVERVALUED,-32.016918054632605,-19.450485308108902,-12.978036889819963,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACRYSIL LTD,882.53,330.6,42.737530266343825,41.89200968523003,30.0,21.5,12.0,63.5,33.500231360267584,21.95713666129742,16.014642351973396,OVERVALUED,OVERVALUED,OVERVALUED,0.5601904230468806,0.35147072284369996,0.24396786020199063,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACTION CONSTRUCTION EQUIPMENT LTD,1608.62,141.75,29.199854783082223,29.85609911054638,23.0,27.0,18.0,68.0,-292.1613080821029,-182.25051660592464,-125.66740177288428,OVERVALUED,OVERVALUED,OVERVALUED,-12.061957484541294,-7.426834086146047,-5.039474227253988,DO NOT BUY,DO NOT BUY,DO NOT BUY
ACTION FINANCIAL SERVICES (I) LTD,5.09,4.07,-2.0039370078740157,-2.002952755905512,9.0,30.0,9.0,48.0,257.5270978318152,161.32733213695073,111.80278303565655,UNDERVALUED,UNDERVALUED,UNDERVALUED,368.5789860240055,227.2850127394401,154.51034610602895,BUY,BUY,BUY
AD MANUM FINANCE LTD,12.94,17.25,6.919786096256684,6.918449197860962,18.0,16.5,15.0,49.5,-2330.2880852786197,-1454.802135507799,-1004.0936894555982,OVERVALUED,OVERVALUED,OVERVALUED,-789.8747848131038,-486.4827922744397,-330.2181576054144,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADANI ENTERPRISES LTD,142854.33,1298.9,387.3175446682753,387.3139983190087,21.0,15.5,18.0,54.5,846.7331178507673,529.3812240612644,366.0054680722254,OVERVALUED,OVERVALUED,OVERVALUED,3.8055837149634995,2.3450573187528256,1.5928007353848783,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADANI GREEN ENERGY LTD,172495.13,1102.9,473.2766208467089,473.2723132219387,8.0,18.0,6.0,32.0,-331.0923669711437,-206.4906770888288,-142.3445488305314,OVERVALUED,OVERVALUED,OVERVALUED,-1.7572543559154203,-1.0818998083362554,-0.7340526856536287,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,156755.49,767.75,81.30766677213386,81.4317108677874,25.0,0.5,24.0,49.5,989.485710505275,620.9476613275805,431.2207884983022,UNDERVALUED,OVERVALUED,OVERVALUED,7.492949129227838,4.6234470721328496,3.1454855515207942,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADANI POWER LTD,37431.59,97.05,-75.05231182580103,-75.05155892849983,3.0,2.0,18.0,23.0,-53.90067123576762,-33.60935913538381,-23.16319977952179,OVERVALUED,OVERVALUED,OVERVALUED,-3.2517203382718303,-2.0018682389994646,-1.3581212500006674,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADANI TOTAL GAS LTD,144108.12,1310.3,305.3461595507999,305.3433499311368,21.0,20.5,15.0,56.5,35.89293007971648,22.427420305995202,15.49524853670141,OVERVALUED,OVERVALUED,OVERVALUED,0.1600163440292636,0.09858414079238773,0.06694296030045249,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADANI TRANSMISSION LTD,129381.66,1176.4,-6100.031117397453,-6099.975106082037,5.0,16.5,9.0,30.5,-14.185260382295523,-8.82536856510731,-6.066045571328612,OVERVALUED,OVERVALUED,OVERVALUED,-0.07077058269937563,-0.043534475104508634,-0.02950628547595152,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADARSH PLANT PROTECT LTD,5.75,5.8,191.66666666666677,191.40000000000006,12.0,17.5,15.0,44.5,0.050434782608694155,0.050434782608694724,0.05043478260869501,OVERVALUED,OVERVALUED,OVERVALUED,0.017391304347824574,0.01739130434782516,0.017391304347825456,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADC INDIA COMMUNICATIONS LTD,94.62,205.7,35.044444444444444,35.04518518518518,16.0,30.0,21.0,67.0,331.1358870856711,216.38167893285376,157.30512739248218,UNDERVALUED,UNDERVALUED,OVERVALUED,8.932071190772957,5.597205392292854,3.8795543056271122,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADCON CAPITAL SERVICES LTD,2.18,6.14,36.333333333333336,36.839999999999996,17.0,30.0,15.0,62.0,-1.9384518491574354,-1.1837717046914251,-0.7952552296209034,OVERVALUED,OVERVALUED,OVERVALUED,-1.890007395498852,-1.1552591026376147,-0.7768207246272932,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADD-SHOP E-RETAIL LTD,60.67,53.55,13.04731182795699,8.752258064516127,16.0,18.0,3.0,37.0,-189.37721467246524,-118.18983256519797,-81.54189506661258,OVERVALUED,OVERVALUED,OVERVALUED,-20.685265415830518,-12.73855147467859,-8.645528648194121,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADDI INDUSTRIES LTD,4.49,4.16,-4.628865979381444,-4.631752577319588,3.0,30.0,6.0,39.0,-200.2386874803045,-124.27265191793241,-85.16461843090077,OVERVALUED,OVERVALUED,OVERVALUED,-283.2574907326003,-174.09582231347437,-117.87117349317924,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADF FOODS LTD,1799.44,898.7,56.32050078247261,57.38178403755869,27.0,27.0,21.0,75.0,820.5911999098671,514.8072950981334,357.3868492285588,OVERVALUED,OVERVALUED,OVERVALUED,5.3102653265451725,3.2762982750015297,2.2286861888064826,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADHUNIK INDUSTRIES LTD,111.3,23.8,176.66666666666666,176.8,16.0,16.5,21.0,53.5,287.7940252579331,179.73164546919853,124.10011045252247,UNDERVALUED,UNDERVALUED,UNDERVALUED,70.67733698513588,43.53535215914196,29.555641265863645,BUY,BUY,BUY
ADINATH EXIM RESOURCES LTD,2.63,6.09,5.259999999999999,5.1562,23.0,30.0,24.0,77.0,-956.2548657209418,-597.0095166936418,-412.0666137790263,OVERVALUED,OVERVALUED,OVERVALUED,-918.0779980024953,-565.4491043845059,-383.8245836650427,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADINATH TEXTILES LTD,2.0,2.94,9.090909090909088,9.087272727272724,14.0,21.5,3.0,38.5,-90.54806827939136,-56.28015700689088,-38.63871222627913,OVERVALUED,OVERVALUED,OVERVALUED,-180.9494013151562,-111.27322070312496,-75.38590931640623,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADITYA BIRLA MONEY LTD,248.57,44.15,15.752217997465147,15.75186945500634,22.0,13.5,12.0,47.5,-1996.1547572989505,-1232.7330918709658,-839.716399144257,OVERVALUED,OVERVALUED,OVERVALUED,-267.4872543589721,-164.1212316795822,-110.88167965308438,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADITRI INDUSTRIES LTD,1.31,1.05,-1.3645833333333335,-1.3671875,7.0,22.0,12.0,41.0,0.01603053435114504,0.01603053435114504,0.01603053435114504,OVERVALUED,OVERVALUED,OVERVALUED,0.03053435114503817,0.03053435114503817,0.03053435114503817,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADITYA BIRLA FASHION & RETAIL LTD,16222.61,176.05,-24.763940832557356,-23.203158344654934,16.0,16.5,12.0,44.5,-1863.3545611812456,-1162.7986403389464,-802.1458274204115,OVERVALUED,OVERVALUED,OVERVALUED,-61.915546178429814,-38.12793607723651,-25.875924509599376,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADITYA BIRLA CAPITAL LTD,27993.07,115.9,450.3389639639639,423.63662591162586,15.0,30.0,12.0,57.0,24.337717935805856,15.19967870581464,10.495329695540372,OVERVALUED,OVERVALUED,OVERVALUED,1.2273230552582637,0.7560055012890243,0.5132493732586648,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADITYA CONSUMER MARKETING LTD,40.68,27.8,,,22.0,23.0,9.0,54.0,-118.85613865235206,-73.81078456233963,-50.621010301433174,OVERVALUED,OVERVALUED,OVERVALUED,-25.142654032893923,-15.456547481870693,-10.467635649044366,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADITYA ISPAT LTD,3.58,6.7,12.344827586206897,12.475862068965519,31.0,10.5,12.0,53.5,-683.2063006979727,-426.45492255136907,-294.2768850894207,OVERVALUED,OVERVALUED,OVERVALUED,-596.3409649608936,-367.26368715083805,-249.2754804469273,DO NOT BUY,DO NOT BUY,DO NOT BUY
ADITYA SPINNERS LTD,12.0,7.17,5.2631578947368425,5.251710526315789,26.0,21.0,12.0,59.0,-336.62172733466036,-210.14341926990133,-145.03119022487613,OVERVALUED,OVERVALUED,OVERVALUED,-274.52589471067705,-169.07726888020832,-114.76505432942706,DO NOT BUY,DO NOT BUY,DO NOT BUY
